lat,lon,anomaly
-84.81675392670157,136.875,1.984788
-84.81675392670157,141.875,1.9275675
-84.81675392670157,146.875,1.8598013
-84.81675392670157,151.875,1.7901211
-84.81675392670157,156.875,1.738471
-84.81675392670157,161.875,1.7273169
-84.81675392670157,166.875,1.7301893
-84.81675392670157,171.875,1.7526855
-84.81675392670157,176.875,1.7888784
-84.81675392670157,181.875,1.8220215
-84.81675392670157,186.875,1.9002886
-84.81675392670157,191.875,1.9699354
-84.81675392670157,196.875,2.0238895
-84.81675392670157,201.875,2.063528
-84.81675392670157,206.875,2.0504684
-84.81675392670157,211.875,2.0063734
-84.81675392670157,216.875,1.9606371
-84.81675392670157,221.875,1.9225302
-84.81675392670157,226.875,1.8942862
-84.81675392670157,231.875,1.8667727
-84.81675392670157,236.875,1.8466101
-84.81675392670157,241.875,1.8466272
-84.81675392670157,246.875,1.8735514
-84.81675392670157,251.875,1.9248428
-84.81675392670157,256.875,1.999876
-84.81675392670157,261.875,2.0960684
-84.81675392670157,266.875,2.1861
-84.81675392670157,271.875,2.2704248
-84.81675392670157,276.875,2.3217955
-84.81675392670157,281.875,2.3591127
-84.81675392670157,286.875,2.3791761
-84.81675392670157,291.875,2.4028149
-84.81675392670157,296.875,2.4034023
-84.81675392670157,301.875,2.3730717
-84.81675392670157,306.875,2.3613653
-84.81675392670157,311.875,2.3429546
-84.81675392670157,316.875,2.31715
-84.81675392670157,321.875,2.2984324
-84.81675392670157,326.875,2.3011646
-84.81675392670157,331.875,2.29737
-84.81675392670157,336.875,2.2905397
-84.81675392670157,341.875,2.286296
-84.81675392670157,346.875,2.274374
-84.81675392670157,351.875,2.2593193
-84.81675392670157,356.875,2.2492437
-81.04712041884817,1.875,2.2256098
-81.04712041884817,6.875,2.1922817
-81.04712041884817,11.875,2.1508684
-81.04712041884817,16.875,2.1133547
-81.04712041884817,21.875,2.0816803
-81.04712041884817,26.875,2.021718
-81.04712041884817,31.875,1.9551382
-81.04712041884817,36.875,1.8998947
-81.04712041884817,41.875,1.8401957
-81.04712041884817,46.875,1.7876348
-81.04712041884817,51.875,1.7333097
-81.04712041884817,56.875,1.6708698
-81.04712041884817,61.875,1.6027193
-81.04712041884817,66.875,1.5546284
-81.04712041884817,71.875,1.5253801
-81.04712041884817,76.875,1.51511
-81.04712041884817,81.875,1.537343
-81.04712041884817,86.875,1.5796814
-81.04712041884817,91.875,1.6248388
-81.04712041884817,96.875,1.668664
-81.04712041884817,101.875,1.7161808
-81.04712041884817,106.875,1.7707033
-81.04712041884817,111.875,1.8270206
-81.04712041884817,116.875,1.8747292
-81.04712041884817,121.875,1.9171324
-81.04712041884817,126.875,1.9396935
-81.04712041884817,131.875,1.934803
-81.04712041884817,136.875,1.9337521
-81.04712041884817,141.875,1.9401398
-81.04712041884817,146.875,1.9169979
-81.04712041884817,151.875,1.8575659
-81.04712041884817,156.875,1.8574038
-81.04712041884817,161.875,1.940342
-81.04712041884817,166.875,2.1485891
-81.04712041884817,171.875,2.3128147
-81.04712041884817,176.875,2.3393402
-81.04712041884817,181.875,2.339077
-81.04712041884817,186.875,2.3420792
-81.04712041884817,191.875,2.3286142
-81.04712041884817,196.875,2.2781496
-81.04712041884817,201.875,2.207303
-81.04712041884817,206.875,2.0353584
-81.04712041884817,211.875,1.8618498
-81.04712041884817,216.875,1.7551317
-81.04712041884817,221.875,1.6755924
-81.04712041884817,226.875,1.5971079
-81.04712041884817,231.875,1.5628223
-81.04712041884817,236.875,1.5557299
-81.04712041884817,241.875,1.6078739
-81.04712041884817,246.875,1.6171532
-81.04712041884817,251.875,1.5978575
-81.04712041884817,256.875,1.5989017
-81.04712041884817,261.875,1.6183119
-81.04712041884817,266.875,1.68184
-81.04712041884817,271.875,1.8477173
-81.04712041884817,276.875,2.0551958
-81.04712041884817,281.875,2.2299738
-81.04712041884817,286.875,2.4160738
-81.04712041884817,291.875,2.5914707
-81.04712041884817,296.875,2.698039
-81.04712041884817,301.875,2.6959143
-81.04712041884817,306.875,2.6302185
-81.04712041884817,311.875,2.529585
-81.04712041884817,316.875,2.495182
-81.04712041884817,321.875,2.469822
-81.04712041884817,326.875,2.4365234
-81.04712041884817,331.875,2.3889532
-81.04712041884817,336.875,2.3323174
-81.04712041884817,341.875,2.2857246
-81.04712041884817,346.875,2.2767878
-81.04712041884817,351.875,2.2766018
-81.04712041884817,356.875,2.2634726
-77.27748691099475,1.875,2.1639671
-77.27748691099475,6.875,2.1475315
-77.27748691099475,11.875,2.1321259
-77.27748691099475,16.875,2.0855913
-77.27748691099475,21.875,2.0022736
-77.27748691099475,26.875,1.9116869
-77.27748691099475,31.875,1.825614
-77.27748691099475,36.875,1.786624
-77.27748691099475,41.875,1.8092766
-77.27748691099475,46.875,1.8260441
-77.27748691099475,51.875,1.7674704
-77.27748691099475,56.875,1.661109
-77.27748691099475,61.875,1.5741177
-77.27748691099475,66.875,1.5399532
-77.27748691099475,71.875,1.5254774
-77.27748691099475,76.875,1.51898
-77.27748691099475,81.875,1.5210209
-77.27748691099475,86.875,1.5238476
-77.27748691099475,91.875,1.5202389
-77.27748691099475,96.875,1.5291548
-77.27748691099475,101.875,1.5930433
-77.27748691099475,106.875,1.6816616
-77.27748691099475,111.875,1.7791567
-77.27748691099475,116.875,1.8797493
-77.27748691099475,121.875,1.9360342
-77.27748691099475,126.875,1.941164
-77.27748691099475,131.875,1.9431067
-77.27748691099475,136.875,1.9537649
-77.27748691099475,141.875,1.9584494
-77.27748691099475,146.875,1.9783087
-77.27748691099475,151.875,1.9187698
-77.27748691099475,156.875,1.822382
-77.27748691099475,161.875,1.8594313
-77.27748691099475,166.875,1.9275074
-77.27748691099475,171.875,1.9742308
-77.27748691099475,176.875,1.8354502
-77.27748691099475,181.875,1.4856615
-77.27748691099475,186.875,1.5962582
-77.27748691099475,191.875,1.8123932
-77.27748691099475,196.875,1.9131737
-77.27748691099475,201.875,1.8277588
-77.27748691099475,206.875,1.8003769
-77.27748691099475,211.875,1.6852236
-77.27748691099475,216.875,1.5331783
-77.27748691099475,221.875,1.4523535
-77.27748691099475,226.875,1.4096708
-77.27748691099475,231.875,1.388958
-77.27748691099475,236.875,1.4300785
-77.27748691099475,241.875,1.5823612
-77.27748691099475,246.875,1.7512741
-77.27748691099475,251.875,1.7733183
-77.27748691099475,256.875,1.7469435
-77.27748691099475,261.875,1.7385874
-77.27748691099475,266.875,1.7462683
-77.27748691099475,271.875,1.8011045
-77.27748691099475,276.875,1.947113
-77.27748691099475,281.875,2.1863146
-77.27748691099475,286.875,2.4127827
-77.27748691099475,291.875,2.4977264
-77.27748691099475,296.875,2.648921
-77.27748691099475,301.875,2.7452402
-77.27748691099475,306.875,2.486166
-77.27748691099475,311.875,2.2551718
-77.27748691099475,316.875,2.2046585
